learning_rate,max_depth,n_estimators,reg_alpha,subsample,Run,Rmse,rsq
183,0.001,3,5000,5e-05,0.5,183,0.13245594187752002,0.906473612895369
184,0.001,3,5000,5e-05,0.7,184,0.1335247970422404,0.9042465701726053
185,0.001,3,5000,5e-05,0.9,185,0.13546235521435365,0.9005591745281117
186,0.001,3,5000,1e-05,0.5,186,0.13245594187752002,0.906473612895369
187,0.001,3,5000,1e-05,0.7,187,0.1335247970422404,0.9042465701726053
188,0.001,3,5000,1e-05,0.9,188,0.13546235521435365,0.9005591745281117
189,0.001,3,5000,1e-06,0.5,189,0.13245594187752002,0.906473612895369
190,0.001,3,5000,1e-06,0.7,190,0.1335247970422404,0.9042465701726053
191,0.001,3,5000,1e-06,0.9,191,0.13546235521435365,0.9005591745281117
192,0.001,4,100,0.0001,0.5,192,2.3430652591426053,-4.908465695886933
193,0.001,4,100,0.0001,0.7,193,2.343055158143457,-4.903877342178183
194,0.001,4,100,0.0001,0.9,194,2.34673533972281,-4.900810939260485
195,0.001,4,100,5e-05,0.5,195,2.3430652591426053,-4.908465695886933
196,0.001,4,100,5e-05,0.7,196,2.343055158143457,-4.903877342178183
197,0.001,4,100,5e-05,0.9,197,2.34673533972281,-4.900810939260485
198,0.001,4,100,1e-05,0.5,198,2.3430652591426053,-4.908465695886933
199,0.001,4,100,1e-05,0.7,199,2.343055158143457,-4.903877342178183
200,0.001,4,100,1e-05,0.9,200,2.34673533972281,-4.900810939260485
201,0.001,4,100,1e-06,0.5,201,2.3430652591426053,-4.908465695886933
202,0.001,4,100,1e-06,0.7,202,2.343055158143457,-4.903877342178183
203,0.001,4,100,1e-06,0.9,203,2.34673533972281,-4.900810939260485
204,0.001,4,1000,0.0001,0.5,204,0.46549406087454925,-0.12492897693183203
205,0.001,4,1000,0.0001,0.7,205,0.46403649135297487,-0.11145371538290938
206,0.001,4,1000,0.0001,0.9,206,0.46383868950076296,-0.10142831951802811
207,0.001,4,1000,5e-05,0.5,207,0.46549406087454925,-0.12492897693183203
208,0.001,4,1000,5e-05,0.7,208,0.46403649135297487,-0.11145371538290938
209,0.001,4,1000,5e-05,0.9,209,0.46383868950076296,-0.10142831951802811
210,0.001,4,1000,1e-05,0.5,210,0.46549406087454925,-0.12492897693183203
211,0.001,4,1000,1e-05,0.7,211,0.46403649135297487,-0.11145371538290938
212,0.001,4,1000,1e-05,0.9,212,0.46383868950076296,-0.10142831951802811
213,0.001,4,1000,1e-06,0.5,213,0.46549406087454925,-0.12492897693183203
214,0.001,4,1000,1e-06,0.7,214,0.46403649135297487,-0.11145371538290938
215,0.001,4,1000,1e-06,0.9,215,0.46383868950076296,-0.10142831951802811
216,0.001,4,3500,0.0001,0.5,216,0.13168009567572092,0.8977428847346963
217,0.001,4,3500,0.0001,0.7,217,0.13372668382471073,0.8956229235960939
218,0.001,4,3500,0.0001,0.9,218,0.13620568404862954,0.8917239827366649
219,0.001,4,3500,5e-05,0.5,219,0.13168009567572092,0.8977428844692369
220,0.001,4,3500,5e-05,0.7,220,0.13372668382471073,0.8956229235960939
221,0.001,4,3500,5e-05,0.9,221,0.13620568404862954,0.8917239827366649
222,0.001,4,3500,1e-05,0.5,222,0.13168009567572092,0.8977428844692369
223,0.001,4,3500,1e-05,0.7,223,0.13372668382471073,0.8956229235960939
224,0.001,4,3500,1e-05,0.9,224,0.13620568404862954,0.8917239827366649
225,0.001,4,3500,1e-06,0.5,225,0.13168009567572092,0.8977428844692369
226,0.001,4,3500,1e-06,0.7,226,0.13372668382471073,0.8956229235960939
227,0.001,4,3500,1e-06,0.9,227,0.13620568404862954,0.8917239827366649
228,0.001,4,5000,0.0001,0.5,228,0.126830149167187,0.9106959523599937
229,0.001,4,5000,0.0001,0.7,229,0.1285535717315059,0.9077243395134396
230,0.001,4,5000,0.0001,0.9,230,0.13110663060315833,0.9034076797095031
231,0.001,4,5000,5e-05,0.5,231,0.126830149167187,0.9106959522500371
232,0.001,4,5000,5e-05,0.7,232,0.1285535717315059,0.9077243395134396
233,0.001,4,5000,5e-05,0.9,233,0.13110663060315833,0.9034076797095031
234,0.001,4,5000,1e-05,0.5,234,0.126830149167187,0.9106959522500371
235,0.001,4,5000,1e-05,0.7,235,0.1285535717315059,0.9077243395134396
236,0.001,4,5000,1e-05,0.9,236,0.13110663060315833,0.9034076797095031
237,0.001,4,5000,1e-06,0.5,237,0.126830149167187,0.9106959522500371
238,0.001,4,5000,1e-06,0.7,238,0.1285535717315059,0.9077243395134396
239,0.001,4,5000,1e-06,0.9,239,0.13110663060315833,0.9034076797095031
240,0.001,6,100,0.0001,0.5,240,2.3465622796470056,-4.908531250102455
241,0.001,6,100,0.0001,0.7,241,2.347314720208316,-4.903557320294166
242,0.001,6,100,0.0001,0.9,242,2.348580532274007,-4.897758909248139
